Name,sowInstructions,spaceInstructions,harvestInstructions,compatiblePlants,avoidInstructions,culinaryHints,culinaryPreservation,image,url
Silverbeet,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 6 - 12 inches apart,Harvest in 7-12 weeks.,"Compatible with (can grow beside): Beans, brassica sp. (cabbage, cauliflower, etc), tomato, allium sp. (onion, garlic, chives), lavender, parsnip","Avoid growing close to: Corn, melon, cucurbit (cucumbers, squash, melons, gourds), most herbs, potato.",Wash thoroughly and inspect the back of the leaves for insects. Chop and put in a saucepan with very little water ( or just what is on the leaves). Cover and cook over a low to medium heat until the leaves collapse. A small amount of nutmeg enhances the flavour.,,http://gardenate.com/image/98/thumb/150/150; http://gardenate.com/image/70/thumb/150/150,http://gardenate.com/plant/Silverbeet
Shallots,"Easy to grow. Plant small bulblets, with stem just showing above ground. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm)",Space plants: 6 - 8 inches apart,Harvest in 12-15 weeks. Keep a few for your next planting.,"Compatible with (can grow beside): Lemon Balm, Borage, Carrots, Beets, Silverbeet, Lettuce, Amaranth","Avoid growing close to: Peas, Beans","Use in any recipe instead of onions. Can be cooked whole, braised gently with other vegetables.",Can be pickled.,,http://gardenate.com/plant/Shallots
Savory ,Easy to grow. Start in trays. Cover seed lightly.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 86°F. (Show °C/cm),Space plants: 12 - 16 inches apart,Harvest in 6-10 weeks. Use the leaves fresh..,Compatible with (can grow beside): Beans,,Can be used as seasoning for beans and other green vegetables.,,http://gardenate.com/image/110/thumb/150/150,http://gardenate.com/plant/Savory%2B-%2Bwinter%2Bsavory
Savory ,Easy to grow. Sow in Garden. Lightly cover.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 86°F. (Show °C/cm),Space plants: 10 inches apart,Harvest in 6-10 weeks. Cut before flowers form for best flavour.,"Compatible with (can grow beside): Beans, Onions",,"Usually added to peas, beans or lentils. It has a slightly spicy flavour.",,,http://gardenate.com/plant/Savory%2B-%2Bsummer%2Bsavory
Radish,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),Space plants: 1 - 2 inches apart,Harvest in 5-7 weeks.,"Compatible with (can grow beside): Chervil, cress,lettuce, leeks, spinach, strawberries, tomatoes","Avoid growing close to: Hyssop, gherkins",Wash well and remove leaves and roots. Use raw in salads or on their own with bread and butter.,,http://gardenate.com/image/117/thumb/150/150; http://gardenate.com/image/51/thumb/150/150,http://gardenate.com/plant/Radish
Rhubarb,Easy to grow. Plant pieces of rhizome or roots 8 - 10 cm (3 - 4 in.) deep. Best planted at soil temperatures between 41°F and 68°F. (Show °C/cm),Space plants: 35 inches apart,Harvest in approximately 1 years. You will have a stronger plant if you leave it for about a year before using..,"Compatible with (can grow beside): Brassicas (Cabbage, Broccoli, Cauliflower, etc)",,"Pick stems about the thickness of your finger. Large stems will have tough 'strings' down the length of them. Use in pies, crumbles, fools and jams. Rhubarb goes well with orange. Will usually need sweetener.",,http://gardenate.com/image/141/thumb/150/150,http://gardenate.com/plant/Rhubarb
Rocket,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 6 - 8 inches apart,Harvest in 21-35 days.,Compatible with (can grow beside): Lettuce,,Use in salads and stir-fry,,http://gardenate.com/image/164/thumb/150/150; http://gardenate.com/image/35/thumb/150/150,http://gardenate.com/plant/Rocket
Rosemary,Easy to grow. Plant cuttings . Best planted at soil temperatures between 59°F and 68°F. (Show °C/cm),Space plants: 39 - 59 inches apart,"Harvest in approximately 1 years. In warmer areas, harvest time might be shorter.","Compatible with (can grow beside): Beans, Carrots, Cabbages, Sage",Avoid growing close to: Potatoes,"Leaves sprinkled on roast potatoes, meat and barbeque food make them extra tasty. Rosemary can also be used to add flavour to vinegars and oils.",,http://gardenate.com/image/44/thumb/150/150,http://gardenate.com/plant/Rosemary
Rutabaga,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45°F and 77°F. (Show °C/cm),Space plants: 4 - 8 inches apart,Harvest in 10-14 weeks.,"Compatible with (can grow beside): Peas, Beans, Chives",Avoid growing close to: Potatoes,Use when about the size of a tennis ball. The leaves can be cooked like cabbage when young.,,,http://gardenate.com/plant/Rutabaga
Salsify,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 6 - 8 inches apart,Harvest in 14-21 weeks.,"Compatible with (can grow beside): Beans, Brassicas, Carrots, Celeriac, Endive, Kohl-rabi, Leeks, Lettuce, Alliums, Spinach",,Wash and scrape the roots then boil before frying or roasting. They can also be used to make a creamed soup.,,http://gardenate.com/image/142/thumb/150/150,http://gardenate.com/plant/Salsify
